         396379 function calls (384047 primitive calls) in 4.043 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 chardistribution.py:151(GB2312DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:170(Big5DistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:192(SJISDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 chardistribution.py:217(EUCJPDistributionAnalysis)
        1    0.000    0.000    0.053    0.053 chardistribution.py:28(<module>)
        1    0.000    0.000    0.000    0.000 chardistribution.py:40(CharDistributionAnalysis)
        1    0.000    0.000    0.000    0.000 charset.py:167(Charset)
        2    0.000    0.000    0.000    0.000 charset.py:211(__init__)
        1    0.000    0.000    0.030    0.030 charset.py:6(<module>)
        1    0.000    0.000    0.018    0.018 charsetgroupprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:32(CharSetGroupProber)
        1    0.000    0.000    0.000    0.000 charsetprober.py:29(<module>)
        1    0.000    0.000    0.000    0.000 charsetprober.py:35(CharSetProber)
        1    0.000    0.000    0.301    0.301 client.py:1(<module>)
        1    0.000    0.000    0.000    0.000 client.py:1049(putrequest)
        1    0.000    0.000    0.000    0.000 client.py:106(<dictcomp>)
        1    0.000    0.000    0.000    0.000 client.py:1174(_encode_request)
        1    0.000    0.000    0.000    0.000 client.py:1178(_validate_path)
        5    0.000    0.000    0.000    0.000 client.py:1186(putheader)
        1    0.000    0.000    0.179    0.179 client.py:1214(endheaders)
        1    0.000    0.000    0.180    0.180 client.py:1227(request)
        1    0.000    0.000    0.180    0.180 client.py:1232(_send_request)
        5    0.000    0.000    0.000    0.000 client.py:1234(<genexpr>)
        1    0.000    0.000    0.192    0.192 client.py:1278(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:1346(HTTPSConnection)
        1    0.000    0.000    0.000    0.000 client.py:1404(HTTPException)
        1    0.000    0.000    0.000    0.000 client.py:1409(NotConnected)
        1    0.000    0.000    0.000    0.000 client.py:1412(InvalidURL)
        1    0.000    0.000    0.000    0.000 client.py:1415(UnknownProtocol)
        1    0.000    0.000    0.000    0.000 client.py:1420(UnknownTransferEncoding)
        1    0.000    0.000    0.000    0.000 client.py:1423(UnimplementedFileMode)
        1    0.000    0.000    0.000    0.000 client.py:1426(IncompleteRead)
        1    0.000    0.000    0.000    0.000 client.py:1440(ImproperConnectionState)
        1    0.000    0.000    0.000    0.000 client.py:1443(CannotSendRequest)
        1    0.000    0.000    0.000    0.000 client.py:1446(CannotSendHeader)
        1    0.000    0.000    0.000    0.000 client.py:1449(ResponseNotReady)
        1    0.000    0.000    0.000    0.000 client.py:1452(BadStatusLine)
        1    0.000    0.000    0.000    0.000 client.py:1459(LineTooLong)
        1    0.000    0.000    0.000    0.000 client.py:1464(RemoteDisconnected)
        1    0.000    0.000    0.000    0.000 client.py:170(HTTPMessage)
        1    0.000    0.000    0.001    0.001 client.py:200(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:224(HTTPResponse)
        1    0.000    0.000    0.000    0.000 client.py:233(__init__)
        1    0.000    0.000    0.191    0.191 client.py:263(_read_status)
        1    0.000    0.000    0.192    0.192 client.py:296(begin)
        1    0.000    0.000    0.000    0.000 client.py:376(_check_close)
        1    0.000    0.000    0.000    0.000 client.py:405(_close_conn)
        2    0.000    0.000    0.000    0.000 client.py:410(close)
        1    0.000    0.000    0.000    0.000 client.py:422(flush)
        1    0.000    0.000    0.000    0.000 client.py:433(isclosed)
       30    0.000    0.000    0.000    0.000 client.py:601(_safe_read)
        1    0.000    0.000    0.000    0.000 client.py:767(HTTPConnection)
        1    0.000    0.000    0.000    0.000 client.py:783(_get_content_length)
        1    0.000    0.000    0.000    0.000 client.py:815(__init__)
        1    0.000    0.000    0.000    0.000 client.py:859(_get_hostport)
        1    0.000    0.000    0.000    0.000 client.py:922(close)
        1    0.000    0.000    0.179    0.179 client.py:936(send)
        6    0.000    0.000    0.000    0.000 client.py:974(_output)
        1    0.000    0.000    0.179    0.179 client.py:995(_send_output)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        4    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:28(<module>)
        1    0.000    0.000    0.000    0.000 codingstatemachine.py:33(CodingStateMachine)
        1    0.000    0.000    0.000    0.000 compat.py:22(<module>)
        1    0.000    0.000    0.182    0.182 compat.py:3(<module>)
        2    0.000    0.000    0.294    0.147 connection.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:104(__init__)
        1    0.000    0.000    0.005    0.005 connection.py:108(_has_ipv6)
        1    0.000    0.000    0.000    0.000 connection.py:117(host)
        1    0.000    0.000    0.000    0.000 connection.py:136(host)
        1    0.000    0.000    0.179    0.179 connection.py:146(_new_conn)
        1    0.000    0.000    0.000    0.000 connection.py:177(_prepare_conn)
        1    0.000    0.000    0.179    0.179 connection.py:186(connect)
        1    0.000    0.000    0.000    0.000 connection.py:190(putrequest)
        1    0.000    0.000    0.000    0.000 connection.py:237(HTTPSConnection)
        1    0.000    0.000    0.179    0.179 connection.py:33(create_connection)
        1    0.000    0.000    0.000    0.000 connection.py:65(DummyConnection)
        1    0.000    0.000    0.000    0.000 connection.py:71(HTTPConnection)
        1    0.000    0.000    0.000    0.000 connection.py:89(_set_socket_options)
        1    0.000    0.000    0.000    0.000 connection.py:97(allowed_gai_family)
        1    0.000    0.000    1.056    1.056 connectionpool.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1018(_normalize_host)
        1    0.000    0.000    0.000    0.000 connectionpool.py:108(HTTPConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:172(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:221(_new_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:242(_get_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:281(_put_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:309(_validate_conn)
        2    0.000    0.000    0.000    0.000 connectionpool.py:319(_get_timeout)
        1    0.000    0.000    0.372    0.372 connectionpool.py:356(_make_request)
        1    0.000    0.000    0.000    0.000 connectionpool.py:460(close)
        1    0.000    0.000    0.373    0.373 connectionpool.py:499(urlopen)
        1    0.000    0.000    0.000    0.000 connectionpool.py:64(ConnectionPool)
        1    0.000    0.000    0.000    0.000 connectionpool.py:78(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:834(HTTPSConnectionPool)
        1    0.000    0.000    0.001    0.001 constants.py:1(<module>)
        1    0.000    0.000    0.000    0.000 constants.py:2936(<dictcomp>)
        1    0.000    0.000    0.000    0.000 constants.py:2940(DataLossWarning)
        1    0.000    0.000    0.000    0.000 constants.py:2945(_ReparseException)
        1    0.000    0.000    0.000    0.000 constants.py:522(<dictcomp>)
        1    0.000    0.000    0.000    0.000 constants.py:547(<dictcomp>)
        2    0.000    0.000    0.000    0.000 contextlib.py:108(__enter__)
        2    0.000    0.000    0.000    0.000 contextlib.py:117(__exit__)
        4    0.000    0.000    0.000    0.000 contextlib.py:211(contextmanager)
        2    0.000    0.000    0.000    0.000 contextlib.py:238(helper)
        2    0.000    0.000    0.000    0.000 contextlib.py:82(__init__)
        1    0.000    0.000    0.038    0.038 cookiejar.py:1(<module>)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1219(vals_sorted_by_key)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1223(deepvalues)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1241(Absent)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1243(CookieJar)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1258(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1287(_cookies_for_request)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1294(_cookie_attrs)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1353(add_cookie_header)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1596(make_cookies)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1677(extract_cookies)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1731(clear_expired_cookies)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1750(__iter__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1771(LoadError)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1773(FileCookieJar)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1856(LWPCookieJar)
        1    0.000    0.000    0.001    0.001 cookiejar.py:1976(MozillaCookieJar)
        3    0.000    0.000    0.000    0.000 cookiejar.py:44(_debug)
        1    0.000    0.000    0.000    0.000 cookiejar.py:736(Cookie)
        1    0.000    0.000    0.000    0.000 cookiejar.py:834(CookiePolicy)
        1    0.000    0.000    0.000    0.000 cookiejar.py:867(DefaultCookiePolicy)
        4    0.000    0.000    0.000    0.000 cookiejar.py:877(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:104(__init__)
        4    0.000    0.000    0.000    0.000 cookies.py:111(info)
        2    0.000    0.000    0.000    0.000 cookies.py:118(extract_cookies_to_jar)
        1    0.000    0.000    0.000    0.000 cookies.py:135(get_cookie_header)
        1    0.000    0.000    0.000    0.000 cookies.py:144(CookieError)
        1    0.000    0.000    0.000    0.000 cookies.py:164(<dictcomp>)
        1    0.000    0.000    0.000    0.000 cookies.py:165(CookieConflictError)
        1    0.000    0.000    0.000    0.000 cookies.py:171(RequestsCookieJar)
        1    0.000    0.000    0.000    0.000 cookies.py:25(MockRequest)
        1    0.000    0.000    0.000    0.000 cookies.py:253(Morsel)
        1    0.000    0.000    0.000    0.000 cookies.py:3(<module>)
        2    0.000    0.000    0.000    0.000 cookies.py:348(update)
        3    0.000    0.000    0.000    0.000 cookies.py:37(__init__)
        1    0.000    0.000    0.005    0.005 cookies.py:39(<module>)
        1    0.000    0.000    0.000    0.000 cookies.py:457(BaseCookie)
        3    0.000    0.000    0.000    0.000 cookies.py:508(cookiejar_from_dict)
        3    0.000    0.000    0.000    0.000 cookies.py:521(<listcomp>)
        2    0.000    0.000    0.000    0.000 cookies.py:529(merge_cookies)
        1    0.000    0.000    0.000    0.000 cookies.py:597(SimpleCookie)
        1    0.000    0.000    0.000    0.000 cookies.py:81(get_new_headers)
        1    0.000    0.000    0.000    0.000 cookies.py:97(MockResponse)
        1    0.000    0.000    0.002    0.002 copy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 copy.py:55(Error)
        9    0.000    0.000    0.000    0.000 copyreg.py:12(pickle)
        1    0.000    0.000    0.081    0.081 core.py:1(<module>)
        1    0.000    0.000    0.000    0.000 core.py:16(IDNAError)
        1    0.000    0.000    0.000    0.000 core.py:21(IDNABidiError)
        1    0.000    0.000    0.000    0.000 core.py:23(where)
        1    0.000    0.000    0.000    0.000 core.py:26(InvalidCodepoint)
        1    0.000    0.000    0.066    0.066 core.py:3(<module>)
        1    0.000    0.000    0.000    0.000 core.py:31(InvalidCodepointContext)
        3    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
       21    0.000    0.000    0.000    0.000 cp1252.py:18(encode)
        1    0.000    0.000    0.000    0.000 cp1252.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 cp949prober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 cp949prober.py:34(CP949Prober)
        1    0.000    0.000    0.019    0.019 css_match.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_match.py:1420(CSSMatch)
        1    0.000    0.000    0.000    0.000 css_match.py:1424(SoupSieve)
        1    0.000    0.000    0.000    0.000 css_match.py:332(Inputs)
        1    0.000    0.000    0.000    0.000 css_match.py:433(_Match)
        1    0.000    0.000    0.000    0.000 css_match.py:56(_FakeParent)
        1    0.000    0.000    0.000    0.000 css_match.py:76(_DocumentNav)
        1    0.000    0.000    0.158    0.158 css_parser.py:1(<module>)
       14    0.000    0.000    0.028    0.002 css_parser.py:1040(process_selectors)
      295    0.000    0.000    0.001    0.000 css_parser.py:236(css_unescape)
        1    0.000    0.000    0.000    0.000 css_parser.py:291(SelectorPattern)
       15    0.000    0.000    0.068    0.005 css_parser.py:294(__init__)
      299    0.000    0.000    0.000    0.000 css_parser.py:300(get_name)
     2241    0.001    0.000    0.004    0.000 css_parser.py:305(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:311(SpecialPseudoPattern)
        1    0.000    0.000    0.035    0.035 css_parser.py:314(__init__)
        1    0.000    0.000    0.000    0.000 css_parser.py:327(get_name)
      268    0.000    0.000    0.001    0.000 css_parser.py:332(match)
        1    0.000    0.000    0.000    0.000 css_parser.py:348(_Selector)
      137    0.001    0.000    0.001    0.000 css_parser.py:357(__init__)
  137/132    0.000    0.000    0.002    0.000 css_parser.py:373(_freeze_relations)
  137/132    0.001    0.000    0.006    0.000 css_parser.py:383(freeze)
        1    0.000    0.000    0.071    0.071 css_parser.py:417(CSSParser)
       14    0.000    0.000    0.000    0.000 css_parser.py:442(__init__)
       77    0.001    0.000    0.009    0.000 css_parser.py:450(parse_attribute_selector)
       70    0.000    0.000    0.001    0.000 css_parser.py:520(parse_tag_pattern)
    35/27    0.000    0.000    0.020    0.001 css_parser.py:557(parse_pseudo_class)
        1    0.000    0.000    0.000    0.000 css_parser.py:645(parse_pseudo_nth)
    31/26    0.000    0.000    0.020    0.001 css_parser.py:704(parse_pseudo_open)
       85    0.000    0.000    0.001    0.000 css_parser.py:759(parse_combinator)
    45/14    0.001    0.000    0.028    0.002 css_parser.py:847(parse_selectors)
       45    0.000    0.000    0.005    0.000 css_parser.py:997(<listcomp>)
      313    0.002    0.000    0.008    0.000 css_parser.py:999(selector_iter)
        1    0.000    0.000    0.000    0.000 css_types.py:1(<module>)
        1    0.000    0.000    0.000    0.000 css_types.py:133(Namespaces)
        1    0.000    0.000    0.000    0.000 css_types.py:152(CustomSelectors)
        1    0.000    0.000    0.000    0.000 css_types.py:171(Selector)
      137    0.000    0.000    0.003    0.000 css_types.py:179(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:200(SelectorNull)
        1    0.000    0.000    0.000    0.000 css_types.py:209(SelectorTag)
       70    0.000    0.000    0.001    0.000 css_types.py:214(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:223(SelectorAttribute)
       77    0.000    0.000    0.001    0.000 css_types.py:228(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:239(SelectorContains)
        1    0.000    0.000    0.000    0.000 css_types.py:252(SelectorNth)
        1    0.000    0.000    0.000    0.000 css_types.py:257(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:270(SelectorLang)
        1    0.000    0.000    0.000    0.000 css_types.py:298(SelectorList)
      190    0.000    0.000    0.002    0.000 css_types.py:303(__init__)
        1    0.000    0.000    0.000    0.000 css_types.py:32(Immutable)
        9    0.000    0.000    0.000    0.000 css_types.py:332(pickle_register)
      475    0.005    0.000    0.006    0.000 css_types.py:37(__init__)
      465    0.000    0.000    0.000    0.000 css_types.py:69(__hash__)
        1    0.000    0.000    0.000    0.000 css_types.py:89(ImmutableDict)
        1    0.000    0.000    0.000    0.000 csv.py:130(DictWriter)
        1    0.000    0.000    0.000    0.000 csv.py:165(Sniffer)
        1    0.000    0.000    0.001    0.001 csv.py:2(<module>)
        1    0.000    0.000    0.000    0.000 csv.py:23(Dialect)
        1    0.000    0.000    0.000    0.000 csv.py:54(excel)
        1    0.000    0.000    0.000    0.000 csv.py:64(excel_tab)
        1    0.000    0.000    0.000    0.000 csv.py:69(unix_dialect)
        1    0.000    0.000    0.000    0.000 csv.py:80(DictReader)
        1    0.000    0.000    0.041    0.041 dammit.py:2(<module>)
        1    0.000    0.000    0.000    0.000 dammit.py:225(EncodingDetector)
        1    0.000    0.000    0.000    0.000 dammit.py:245(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:258(<listcomp>)
        4    0.000    0.000    0.000    0.000 dammit.py:266(_usable)
        2    0.000    0.000    0.000    0.000 dammit.py:282(encodings)
        1    0.000    0.000    0.000    0.000 dammit.py:318(strip_byte_order_mark)
        1    0.000    0.000    0.000    0.000 dammit.py:348(find_declared_encoding)
        1    0.000    0.000    0.000    0.000 dammit.py:389(UnicodeDammit)
        1    0.000    0.000    0.000    0.000 dammit.py:408(__init__)
        1    0.000    0.000    0.000    0.000 dammit.py:490(_convert_from)
        1    0.000    0.000    0.000    0.000 dammit.py:521(_to_unicode)
        1    0.000    0.000    0.000    0.000 dammit.py:528(declared_html_encoding)
        1    0.000    0.000    0.000    0.000 dammit.py:537(find_codec)
        1    0.000    0.000    0.000    0.000 dammit.py:553(_codec)
        1    0.000    0.000    0.003    0.003 dammit.py:68(EntitySubstitution)
        1    0.000    0.000    0.003    0.003 dammit.py:71(_populate_class_variables)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:1141(tzinfo)
        1    0.000    0.000    0.000    0.000 datetime.py:1211(time)
        2    0.000    0.000    0.000    0.000 datetime.py:1236(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:1558(datetime)
        3    0.000    0.000    0.000    0.000 datetime.py:1566(__new__)
        1    0.000    0.000    0.000    0.000 datetime.py:2179(timezone)
        3    0.000    0.000    0.000    0.000 datetime.py:2199(_create)
       35    0.000    0.000    0.000    0.000 datetime.py:379(_check_int_field)
        3    0.000    0.000    0.000    0.000 datetime.py:41(_days_before_year)
        5    0.000    0.000    0.000    0.000 datetime.py:411(_check_date_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:424(_check_time_fields)
        5    0.000    0.000    0.000    0.000 datetime.py:441(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 datetime.py:46(_days_in_month)
        1    0.000    0.000    0.000    0.000 datetime.py:469(timedelta)
       12    0.000    0.000    0.000    0.000 datetime.py:488(__new__)
        2    0.000    0.000    0.000    0.000 datetime.py:661(__neg__)
        1    0.000    0.000    0.000    0.000 datetime.py:789(date)
        2    0.000    0.000    0.000    0.000 datetime.py:819(__new__)
        1    0.000    0.000    0.012    0.012 decoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 decoder.py:254(JSONDecoder)
        1    0.000    0.000    0.000    0.000 decoder.py:284(__init__)
        1    0.000    0.000    0.000    0.000 element.py:1004(Doctype)
        1    0.000    0.000    0.000    0.000 element.py:101(CharsetMetaAttributeValue)
        1    0.000    0.000    0.000    0.000 element.py:1033(Stylesheet)
        1    0.000    0.000    0.000    0.000 element.py:1042(Script)
        1    0.000    0.000    0.000    0.000 element.py:1051(TemplateString)
        1    0.000    0.000    0.000    0.000 element.py:1060(Tag)
      542    0.006    0.000    0.014    0.000 element.py:1068(__init__)
      541    0.001    0.000    0.001    0.000 element.py:1184(is_empty_element)
        1    0.000    0.000    0.000    0.000 element.py:122(ContentMetaAttributeValue)
      100    0.000    0.000    0.000    0.000 element.py:1229(_all_strings)
       40    0.000    0.000    0.000    0.000 element.py:1266(get_text)
       40    0.000    0.000    0.000    0.000 element.py:1283(<listcomp>)
        1    0.000    0.000    0.000    0.000 element.py:133(__new__)
      175    0.000    0.000    0.000    0.000 element.py:1376(get)
     3763    0.001    0.000    0.001    0.000 element.py:1419(__bool__)
        1    0.000    0.000    0.000    0.000 element.py:1423(__setitem__)
       41    0.000    0.000    0.002    0.000 element.py:1438(__getattr__)
        7    0.000    0.000    0.000    0.000 element.py:1456(__eq__)
        1    0.000    0.000    0.000    0.000 element.py:151(PageElement)
     2280    0.007    0.000    0.007    0.000 element.py:158(setup)
      101    0.000    0.000    0.013    0.000 element.py:1742(find)
      102    0.000    0.000    0.020    0.000 element.py:1767(find_all)
     3292    0.001    0.000    0.001    0.000 element.py:1802(descendants)
        1    0.000    0.000    0.000    0.000 element.py:1895(SoupStrainer)
      102    0.000    0.000    0.001    0.000 element.py:1905(__init__)
      685    0.000    0.000    0.001    0.000 element.py:1943(_normalize_search_value)
     1341    0.003    0.000    0.007    0.000 element.py:1980(search_tag)
        1    0.000    0.000    0.273    0.273 element.py:2(<module>)
     3070    0.004    0.000    0.013    0.000 element.py:2043(search)
  560/300    0.002    0.000    0.003    0.000 element.py:2076(_matches)
        1    0.000    0.000    0.000    0.000 element.py:2159(ResultSet)
      102    0.000    0.000    0.000    0.000 element.py:2162(__init__)
        3    0.000    0.000    0.000    0.000 element.py:34(_alias)
      141    0.000    0.000    0.000    0.000 element.py:347(_last_descendant)
      102    0.003    0.000    0.020    0.000 element.py:738(_find_all)
        1    0.000    0.000    0.000    0.000 element.py:75(NamespacedAttribute)
        1    0.000    0.000    0.000    0.000 element.py:875(NavigableString)
      869    0.003    0.000    0.007    0.000 element.py:890(__new__)
        1    0.000    0.000    0.000    0.000 element.py:949(PreformattedString)
        1    0.000    0.000    0.000    0.000 element.py:976(CData)
        1    0.000    0.000    0.000    0.000 element.py:98(AttributeValueWithCharsetSubstitution)
        1    0.000    0.000    0.000    0.000 element.py:981(ProcessingInstruction)
        1    0.000    0.000    0.000    0.000 element.py:987(XMLProcessingInstruction)
        1    0.000    0.000    0.000    0.000 element.py:992(Comment)
        1    0.000    0.000    0.000    0.000 element.py:998(Declaration)
        1    0.000    0.000    0.001    0.001 encoder.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:104(__init__)
        1    0.000    0.000    0.000    0.000 encoder.py:73(JSONEncoder)
        1    0.000    0.000    0.015    0.015 encoders.py:5(<module>)
        1    0.000    0.000    0.001    0.001 entities.py:1(<module>)
       16    0.000    0.000    0.000    0.000 enum.py:119(__prepare__)
      222    0.000    0.000    0.001    0.000 enum.py:12(_is_descriptor)
       16    0.004    0.000    0.010    0.001 enum.py:129(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:146(<dictcomp>)
       16    0.001    0.000    0.002    0.000 enum.py:171(<setcomp>)
       50    0.000    0.000    0.000    0.000 enum.py:192(<genexpr>)
      267    0.000    0.000    0.000    0.000 enum.py:20(_is_dunder)
      446    0.001    0.000    0.008    0.000 enum.py:278(__call__)
      267    0.000    0.000    0.000    0.000 enum.py:28(_is_sunder)
       16    0.000    0.000    0.000    0.000 enum.py:327(__getattr__)
       13    0.000    0.000    0.000    0.000 enum.py:352(__members__)
        1    0.000    0.000    0.000    0.000 enum.py:36(_make_class_unpicklable)
      327    0.001    0.000    0.001    0.000 enum.py:368(__setattr__)
       10    0.000    0.000    0.007    0.001 enum.py:381(_create_)
       10    0.000    0.000    0.010    0.001 enum.py:434(_convert_)
       10    0.001    0.000    0.003    0.000 enum.py:451(<listcomp>)
       92    0.000    0.000    0.000    0.000 enum.py:457(<lambda>)
       42    0.000    0.000    0.000    0.000 enum.py:473(_get_mixins_)
       42    0.000    0.000    0.000    0.000 enum.py:484(_find_data_type)
       16    0.000    0.000    0.000    0.000 enum.py:505(_find_new_)
      436    0.001    0.000    0.001    0.000 enum.py:557(__new__)
       16    0.000    0.000    0.000    0.000 enum.py:58(__init__)
      267    0.001    0.000    0.003    0.000 enum.py:64(__setitem__)
       98    0.000    0.000    0.000    0.000 enum.py:654(name)
      112    0.000    0.000    0.000    0.000 enum.py:659(value)
        7    0.000    0.000    0.001    0.000 enum.py:785(_missing_)
        7    0.000    0.000    0.001    0.000 enum.py:792(_create_pseudo_member_)
       44    0.000    0.000    0.001    0.000 enum.py:822(__or__)
      173    0.001    0.000    0.002    0.000 enum.py:828(__and__)
       28    0.000    0.000    0.000    0.000 enum.py:847(_high_bit)
        7    0.000    0.000    0.000    0.000 enum.py:864(_decompose)
        7    0.000    0.000    0.000    0.000 enum.py:881(<listcomp>)
       16    0.000    0.000    0.000    0.000 enum.py:893(<lambda>)
       35    0.000    0.000    0.000    0.000 enum.py:899(_power_of_two)
        1    0.000    0.000    0.000    0.000 enums.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enums.py:17(LanguageFilter)
        1    0.000    0.000    0.000    0.000 enums.py:32(ProbingState)
        1    0.000    0.000    0.000    0.000 enums.py:41(MachineState)
        1    0.000    0.000    0.000    0.000 enums.py:50(SequenceLikelihood)
        1    0.000    0.000    0.000    0.000 enums.py:65(CharacterCategory)
        1    0.000    0.000    0.000    0.000 enums.py:8(InputState)
        1    0.000    0.000    0.010    0.010 error.py:1(<module>)
        1    0.000    0.000    0.000    0.000 error.py:19(URLError)
        1    0.000    0.000    0.000    0.000 error.py:35(HTTPError)
        1    0.000    0.000    0.000    0.000 error.py:73(ContentTooShortError)
        1    0.000    0.000    0.000    0.000 errors.py:104(ObsoleteHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:107(NonASCIILocalPartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:12(MessageParseError)
        1    0.000    0.000    0.000    0.000 errors.py:16(HeaderParseError)
        1    0.000    0.000    0.000    0.000 errors.py:20(BoundaryError)
        1    0.000    0.000    0.000    0.000 errors.py:24(MultipartConversionError)
        1    0.000    0.000    0.000    0.000 errors.py:28(CharsetError)
        1    0.000    0.000    0.000    0.000 errors.py:33(MessageDefect)
        1    0.000    0.000    0.000    0.000 errors.py:41(NoBoundaryInMultipartDefect)
        1    0.000    0.000    0.000    0.000 errors.py:44(StartBoundaryNotFoundDefect)
        1    0.000    0.000    0.000    0.000 errors.py:47(CloseBoundaryNotFoundDefect)
        1    0.000    0.000    0.001    0.001 errors.py:5(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:50(FirstHeaderLineIsContinuationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:53(MisplacedEnvelopeHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:56(MissingHeaderBodySeparatorDefect)
        1    0.000    0.000    0.000    0.000 errors.py:61(MultipartInvariantViolationDefect)
        1    0.000    0.000    0.000    0.000 errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:67(UndecodableBytesDefect)
        1    0.000    0.000    0.000    0.000 errors.py:70(InvalidBase64PaddingDefect)
        1    0.000    0.000    0.000    0.000 errors.py:73(InvalidBase64CharactersDefect)
        1    0.000    0.000    0.000    0.000 errors.py:76(InvalidBase64LengthDefect)
        1    0.000    0.000    0.000    0.000 errors.py:8(MessageError)
        1    0.000    0.000    0.000    0.000 errors.py:81(HeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:87(InvalidHeaderDefect)
        1    0.000    0.000    0.000    0.000 errors.py:90(HeaderMissingRequiredValue)
        1    0.000    0.000    0.000    0.000 errors.py:93(NonPrintableDefect)
        1    0.000    0.000    0.020    0.020 escprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 escprober.py:35(EscCharSetProber)
        1    0.000    0.000    0.000    0.000 escsm.py:28(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 eucjpprober.py:36(EUCJPProber)
        1    0.000    0.000    0.000    0.000 euckrfreq.py:41(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euckrprober.py:34(EUCKRProber)
        1    0.000    0.000    0.000    0.000 euctwfreq.py:44(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:28(<module>)
        1    0.000    0.000    0.000    0.000 euctwprober.py:33(EUCTWProber)
        1    0.000    0.000    0.468    0.468 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 exceptions.py:100(StreamConsumedError)
        1    0.000    0.000    0.000    0.000 exceptions.py:104(RetryError)
        1    0.000    0.000    0.000    0.000 exceptions.py:104(TimeoutError)
        1    0.000    0.000    0.000    0.000 exceptions.py:108(UnrewindableBodyError)
        1    0.000    0.000    0.000    0.000 exceptions.py:114(ReadTimeoutError)
